accession,strain,qseqid,pident,length,mismatch,gapopen,qstart,qend,sstart,send,evalue,bitscore,sseqid_2
AM118080,Ustilago hordei,Oe6_s03437,94.048,84,5,0,1092,1175,202169,202252,4.93e-25,128,1
AM118080,Ustilago hordei,Oe6_s03437,82.407,216,36,2,719,932,386778,386563,8.03e-43,187,1
AM118080,Ustilago hordei,Oe6_s03437,83.459,266,27,13,438,693,194704,194446,3.66e-56,231,1
AM118080,Ustilago hordei,Oe6_s03437,78.07,228,30,15,1123,1341,238964,238748,1.77e-24,126,1
AM118080,Ustilago hordei,Oe6_s03437,90.11,91,6,3,1137,1225,390679,390768,3.84e-21,115,1
AM118080,Ustilago hordei,Oe6_s03437,89.683,126,11,2,1137,1261,249328,249452,1.75e-34,159,1
AM118080,Ustilago hordei,Oe6_s03437,86.614,254,26,7,1092,1341,268262,268511,5.99e-69,274,1
AM118080,Ustilago hordei,Oe6_s03437,89.971,349,33,2,96,444,421445,421099,9.27e-122,449,1
AM118080,Ustilago hordei,Oe6_s03437,87.288,118,7,3,1030,1139,250827,250944,4.93e-25,128,1
AM118080,Ustilago hordei,Oe6_s03437,90.323,93,5,4,96,188,159774,159862,2.97e-22,119,1
AM118080,Ustilago hordei,Oe6_s03437,87.46,311,34,5,129,437,316333,316026,7.48e-93,353,1
AM118080,Ustilago hordei,Oe6_s03437,87.948,307,36,1,131,437,518043,518348,4.47e-95,361,1
AM181176,Pseudomonas fluorescens,Oe6_s11298,75.802,343,69,13,277,612,5179381,5179716,2.95e-35,161,4
AM260479,Cupriavidus necator,Oe6_s02653,75.989,4248,800,164,2210,6339,3747952,3743807,0,1991,1
AM260479,Cupriavidus necator,Oe6_s10896,76.047,597,122,20,1919,2506,635313,635897,1.42e-73,291,1
AM270034,Aspergillus niger,Oe6_s06580,76.291,1898,380,50,7963,9829,47163,49021,0,950,1
AM270223,Aspergillus niger,Oe6_s06580,80.653,429,73,10,25847,26270,29959,30382,1.37e-82,324,1
AM747720,Burkholderia cenocepacia,Oe6_s08731,73.271,1070,217,50,7076,8100,1776389,1775344,2.75e-84,327,1
AM747720,Burkholderia cenocepacia,Oe6_s03283,72.973,518,102,28,1951,2449,1174465,1173967,2.42e-30,147,1
AM747720,Burkholderia cenocepacia,Oe6_s03283,74.5,400,88,11,1951,2343,1171150,1170758,8.64e-35,161,1
AM902716,Bordetella petrii,Oe6_s02653,76.361,3528,657,133,2268,5708,5204937,5201500,0,1731,1
AM920427,Penicillium rubens,Oe6_s00826,77.706,462,91,11,26438,26893,582124,582579,4.88e-67,272,1
AM920427,Penicillium rubens,Oe6_s06580,80.876,434,75,8,26711,27140,2586683,2587112,6.35e-86,335,1
AM920430,Penicillium rubens,Oe6_s06580,76.516,1797,354,47,8073,9832,439865,438100,0,918,1
AM920431,Penicillium rubens,Oe6_s01218,76.903,1537,321,31,1244,2763,2013359,2011840,0,841,1
AM920689,Xanthomonas campestris,Oe6_s10896,80.508,1103,198,16,4,1098,342960,341867,0,830,1
AM946981,Escherichia coli,Oe6_s01851,98.497,599,9,0,1,599,4499993,4499395,0,1057,2
AP000438,Homo sapiens,Oe6_s07662,87.826,115,6,8,411,522,9211,9102,1.68e-25,128,5
AP000543,Homo sapiens,Oe6_s09260,77.44,1281,199,49,3,1245,4386,3158,0,682,1
AP000543,Homo sapiens,Oe6_s09260,79.952,1247,182,34,3,1230,2921,1724,0,856,1
AP000543,Homo sapiens,Oe6_s09260,77.739,1132,195,33,137,1243,9473,8374,1.2e-179,641,1
AP001160,Homo sapiens,Oe6_s07662,87.826,115,6,8,411,522,119112,119003,1.68e-25,128,4
AP006725,Klebsiella pneumoniae,Oe6_s01851,86.311,599,82,0,1,599,721786,721188,0,652,1
AP007155,Aspergillus oryzae,Oe6_s06580,78.864,440,83,9,25847,26281,327697,328131,5.01e-72,289,1
AP007155,Aspergillus oryzae,Oe6_s06580,79.007,443,85,6,26701,27140,328682,329119,3e-74,296,1
AP007155,Aspergillus oryzae,Oe6_s01218,77.285,1488,307,25,1241,2713,2579457,2580928,0,846,1
AP007159,Aspergillus oryzae,Oe6_s10369,80.992,242,38,7,37324,37561,2105797,2106034,7.86e-41,185,1
AP007167,Aspergillus oryzae,Oe6_s06580,75.097,1807,368,63,8073,9835,1009780,1008012,0,769,1
AP008229,Xanthomonas oryzae,Oe6_s10896,79.376,1154,222,16,1,1146,4634437,4635582,0,798,1
AP009240,Escherichia coli,Oe6_s01851,97.997,599,12,0,1,599,4828830,4828232,0,1040,1
AP009384,Azorhizobium caulinodans,Oe6_s02989,82.031,1152,183,22,5,1144,2416986,2415847,0,959,1
AP009385,Burkholderia multivorans,Oe6_s03283,74.345,534,115,19,1951,2473,1208073,1207551,1.09e-48,207,1
AP009385,Burkholderia multivorans,Oe6_s03283,73.837,516,99,26,1951,2448,1211382,1210885,3.99e-38,172,1
AP010947,Azospirillum lipoferum,Oe6_s08731,73.711,388,68,28,8383,8759,143735,144099,5.02e-22,121,1
AP010947,Azospirillum lipoferum,Oe6_s08731,75.332,1131,225,49,6995,8098,591450,592553,2.57e-134,494,1
AP010948,Azospirillum lipoferum,Oe6_s08731,72.008,1061,249,42,7068,8107,635792,636825,4.71e-67,270,1
AP010953,Escherichia coli,Oe6_s01851,99.332,599,4,0,1,599,5634320,5633722,0,1085,1
AP010958,Escherichia coli,Oe6_s01851,98.331,599,10,0,1,599,5334744,5334146,0,1051,1
AP010960,Escherichia coli,Oe6_s01851,97.83,599,13,0,1,599,5312469,5311871,0,1035,1
AP012035,Acidiphilium multivorum,Oe6_s10896,77.646,756,145,23,1910,2653,1397325,1398068,4.81e-118,438,1
AP012206,Bradyrhizobium japonicum,Oe6_s03283,77.019,483,101,8,425,902,5997638,5998115,4.95e-67,268,1
AP012206,Bradyrhizobium japonicum,Oe6_s03283,72.807,456,106,16,2003,2449,5411739,5411293,4.05e-28,139,1
AP012206,Bradyrhizobium japonicum,Oe6_s03225,72.616,409,100,9,2728,3130,7285642,7285240,1.44e-23,124,1
AP012206,Bradyrhizobium japonicum,Oe6_s08731,76.531,392,74,13,8378,8760,2473580,2473198,2.25e-45,198,1
AP012213,Kluyveromyces marxianus,Oe6_s06580,72.564,1283,322,26,25836,27101,999207,997938,3.71e-103,392,1
AP012224,Pseudogulbenkiania sp. NH8B,Oe6_s11298,72.336,488,107,21,100,573,3416855,3417328,2.99e-25,128,1
AP012224,Pseudogulbenkiania sp. NH8B,Oe6_s04615,80.366,1910,318,52,35622,37506,2020423,2018546,0,1397,1
AP012273,Thiolapillus brandeum,Oe6_s04615,79.273,2036,376,41,35501,37516,644479,642470,0,1380,1
AP012279,Bradyrhizobium sp. S23321,Oe6_s03283,73.735,415,93,15,2003,2409,3835386,3834980,6.73e-31,148,1
AP012279,Bradyrhizobium sp. S23321,Oe6_s03225,73.46,422,102,8,2714,3130,5452053,5451637,2.37e-31,150,1
AP012279,Bradyrhizobium sp. S23321,Oe6_s08731,77.724,413,74,14,8357,8760,1371938,1371535,4.77e-57,237,1
AP012280,Pseudomonas aeruginosa,Oe6_s04615,79.563,1556,288,27,11349,12889,4697854,4696314,0,1085,1
AP012280,Pseudomonas aeruginosa,Oe6_s04615,77.489,2541,477,75,35007,37510,2190499,2188017,0,1435,1
AP012304,Azoarcus sp. KH32C,Oe6_s01763,86.239,109,15,0,15,123,4091200,4091308,1.5e-22,119,1
AP012304,Azoarcus sp. KH32C,Oe6_s10896,76.014,592,112,28,1934,2510,2451936,2451360,3.08e-70,279,1
AP012304,Azoarcus sp. KH32C,Oe6_s01763,86.579,760,97,4,8,763,1617485,1618243,0,833,1
AP012320,Rubrivivax gelatinosus,Oe6_s02653,83.59,5509,776,101,2249,7679,356071,361529,0,5048,1
AP012320,Rubrivivax gelatinosus,Oe6_s08731,74.16,1161,220,64,6995,8103,2672055,2670923,9.56e-109,409,1
AP012603,Bradyrhizobium oligotrophicum,Oe6_s03283,76.389,432,90,11,2030,2455,4486100,4485675,3.91e-53,222,1
AP012978,endosymbiont of unidentified scaly snail isolate Monju,Oe6_s04615,81.153,1995,334,32,35533,37509,682479,680509,0,1563,1
AP013068,Pseudomonas resinovorans,Oe6_s11298,73.228,508,108,25,119,612,4158031,4158524,1.06e-34,159,1
AP013068,Pseudomonas resinovorans,Oe6_s04615,79.133,1984,363,44,35548,37510,1933198,1931245,0,1323,1
AP014522,Pseudomonas protegens,Oe6_s04615,78.141,1958,377,43,35574,37510,5121027,5122954,0,1197,1
AP014582,Bordetella bronchiseptica,Oe6_s02653,75.815,3527,676,129,2268,5708,42494,45929,0,1624,1
AP014599,Kluyveromyces marxianus,Oe6_s06580,72.387,1282,326,24,25836,27101,981528,980259,8.04e-100,381,1
AP014622,Pseudomonas aeruginosa,Oe6_s04615,77.489,2541,477,75,35007,37510,1478369,1480851,0,1435,1
AP014622,Pseudomonas aeruginosa,Oe6_s04615,79.588,1553,287,27,11349,12886,3191955,3193492,0,1085,1
AP014623,Pseudomonas chlororaphis,Oe6_s04615,78.385,1957,368,46,35577,37510,5029835,5031759,0,1219,1
AP014646,Pseudomonas aeruginosa,Oe6_s04615,79.588,1553,287,27,11349,12886,1906962,1908499,0,1085,1
AP014646,Pseudomonas aeruginosa,Oe6_s04615,77.489,2541,477,75,35007,37510,4495934,4498416,0,1435,1
AP014651,Pseudomonas aeruginosa,Oe6_s04615,79.717,1553,285,27,11349,12886,2054171,2055708,0,1096,1
AP014651,Pseudomonas aeruginosa,Oe6_s04615,77.529,2541,476,75,35007,37510,4713101,4715583,0,1441,1
AP014655,Pseudomonas sp. MT-1,Oe6_s04615,79.878,1963,332,54,35575,37510,1898476,1896550,0,1378,1
AP014685,Bradyrhizobium diazoefficiens,Oe6_s08731,76.583,1042,216,27,7076,8103,1868424,1869451,1.94e-150,547,1
AP014685,Bradyrhizobium diazoefficiens,Oe6_s03283,73.037,382,87,15,2003,2376,9002484,9002111,1.47e-22,121,1
AP014704,Methylobacterium aquaticum,Oe6_s02989,84.255,1175,155,23,5,1164,1682389,1683548,0,1118,1
AP014704,Methylobacterium aquaticum,Oe6_s08731,83.206,524,74,13,8273,8792,2265431,2265944,1.55e-126,468,1
AP014704,Methylobacterium aquaticum,Oe6_s08731,75.389,386,69,23,8393,8766,1165310,1165681,8.22e-35,163,1
AP014704,Methylobacterium aquaticum,Oe6_s08731,85.702,1168,160,4,6958,8121,2263999,2265163,0,1225,1
AP014802,Rhodovulum sulfidophilum,Oe6_s10896,75.524,764,166,16,1917,2675,29599,28852,4.98e-93,355,1
AP014809,Methylobacterium populi,Oe6_s03144,90.909,77,7,0,2708,2784,5492834,5492758,2.47e-17,104,1
AP014809,Methylobacterium populi,Oe6_s02989,86.084,1236,165,7,5,1237,5003125,5004356,0,1323,1
AP014809,Methylobacterium populi,Oe6_s08731,85.912,1157,153,8,6958,8109,3947852,3946701,0,1225,1
AP014839,Pseudomonas aeruginosa,Oe6_s04615,79.717,1553,285,27,11349,12886,1970582,1972119,0,1096,2
AP014839,Pseudomonas aeruginosa,Oe6_s04615,77.529,2541,476,75,35007,37510,4489719,4492201,0,1441,2
AP014862,Pseudomonas pseudoalcaligenes,Oe6_s04615,77.815,1785,353,38,11120,12878,1361120,1362887,0,1062,1
AP014862,Pseudomonas pseudoalcaligenes,Oe6_s04615,79.809,1991,349,42,35542,37510,4057842,4059801,0,1400,1
AP014936,Sulfurifustis variabilis,Oe6_s11298,74.895,474,107,12,118,585,1915917,1916384,1.34e-48,206,1
AP014940,Lysobacter enzymogenes,Oe6_s03283,74.775,444,101,11,2030,2469,3272419,3271983,3.96e-43,189,1
AP014940,Lysobacter enzymogenes,Oe6_s02989,83.333,1176,184,11,5,1174,3345425,3344256,0,1075,1
AP014950,Klebsiella pneumoniae,Oe6_s01851,86.144,599,83,0,1,599,4798728,4799326,0,647,1
AP014951,Klebsiella oxytoca,Oe6_s01851,85.309,599,88,0,1,599,710260,709662,2.62e-173,619,1
AP014952,Klebsiella oxytoca,Oe6_s11194,97.576,1155,28,0,10,1164,99209,98055,0,1978,1
AP017302,Pseudomonas aeruginosa,Oe6_s04615,79.781,1553,284,27,11349,12886,2075518,2077055,0,1101,1
AP017302,Pseudomonas aeruginosa,Oe6_s04615,77.529,2541,476,75,35007,37510,4670518,4673000,0,1441,1
AP017605,Mesorhizobium loti,Oe6_s03283,74.564,287,58,13,2042,2322,1202790,1202513,8.83e-20,111,1
AP017605,Mesorhizobium loti,Oe6_s08731,77.753,445,93,6,8321,8762,4172154,4171713,1.69e-66,268,1
AP017605,Mesorhizobium loti,Oe6_s03144,90.667,75,7,0,2708,2782,919098,919024,3.2e-16,100,1
AP017605,Mesorhizobium loti,Oe6_s02989,82.74,1124,178,13,5,1120,6060909,6059794,0,987,1
AP017655,Sphingobium cloacae,Oe6_s03283,73.099,513,114,22,1955,2455,647727,648227,8.64e-35,161,1
AP018111,Burkholderia stabilis,Oe6_s10896,76.897,593,124,11,1920,2507,1506951,1506367,1.4e-83,324,1
AP018111,Burkholderia stabilis,Oe6_s03283,73.358,533,122,17,1951,2473,3447396,3446874,2.39e-40,180,1
AP018111,Burkholderia stabilis,Oe6_s03283,72.727,517,105,27,1951,2449,3450806,3450308,1.13e-28,141,1
AP018358,Burkholderia contaminans,Oe6_s03283,73.062,516,105,23,1951,2449,1290404,1289906,5.2e-32,152,1
AY040608,Aspergillus fumigatus,Oe6_s06580,75.866,1906,383,60,7961,9832,2846,984,0,900,1
AY040609,Aspergillus fumigatus,Oe6_s06580,75.866,1906,383,60,7961,9832,2704,842,0,900,1
AY052544,Plasmopara viticola,Oe6_s00826,80.657,274,49,4,26438,26709,272,1,3.88e-48,209,1
AY081765,Rasamsonia emersonii,Oe6_s06580,80.251,557,107,3,8287,8843,554,1,6.13e-111,418,1
AY119111,Drosophila melanogaster,Oe6_s08364,71.698,1219,301,33,40849,42048,39,1232,3.87e-75,300,1
AY144892,Kazachstania servazzii,Oe6_s06580,74.958,599,132,14,26439,27028,879,290,3.93e-63,259,1
AY211882,Shuttle vector pCRA1,Oe6_s09290,98.69,229,2,1,1,229,523,750,1.54e-108,405,1
AY291576,Curvularia lunata,Oe6_s04608,76.923,403,77,11,1239,1633,72,466,9.96e-50,215,1
AY392450,Escherichia coli,Oe6_s01851,100,599,0,0,1,599,9424,8826,0,1107,1
AY509004,Salmonella enterica,Oe6_s11194,100,1172,0,0,10,1181,135648,134477,0,2165,1
AY585307,Shuttle-expression vector pEKEx2,Oe6_s05375,100,706,0,0,685,1390,4179,3474,0,1304,1
AY585307,Shuttle-expression vector pEKEx2,Oe6_s09290,99.905,1053,1,0,76,1128,6138,5086,0,1940,1
AY585307,Shuttle-expression vector pEKEx2,Oe6_s05375,99.846,650,1,0,1,650,4855,4206,0,1195,1
AY765358,Crassostrea angulata,Oe6_s07662,87.273,110,10,4,413,520,662,555,7.8e-24,122,1
AY765359,Crassostrea angulata,Oe6_s07662,87.273,110,10,4,413,520,650,543,2.17e-24,124,1
AY765360,Crassostrea angulata,Oe6_s07662,88.182,110,9,4,413,520,651,544,1.68e-25,128,1
AY765361,Crassostrea angulata,Oe6_s07662,88.182,110,9,4,413,520,661,554,1.68e-25,128,1
AY765362,Crassostrea angulata,Oe6_s07662,88.182,110,9,4,413,520,650,543,1.68e-25,128,1
AY765363,Crassostrea angulata,Oe6_s07662,87.273,110,10,4,413,520,662,555,2.17e-24,124,1
AY765364,Crassostrea gigas,Oe6_s07662,100,69,0,0,413,481,674,606,1.68e-25,128,1
AY765365,Crassostrea gigas,Oe6_s07662,88.182,110,9,4,413,520,655,548,1.68e-25,128,1
AY765366,Crassostrea gigas,Oe6_s07662,100,69,0,0,413,481,671,603,1.68e-25,128,1
AY765367,Crassostrea gigas,Oe6_s07662,100,69,0,0,413,481,659,591,1.68e-25,128,1
AY765368,Crassostrea gigas,Oe6_s07662,88.288,111,8,5,413,520,650,542,1.68e-25,128,1
BA000012,Mesorhizobium japonicum,Oe6_s03144,90.667,75,7,0,2708,2782,931215,931141,3.2e-16,100,4
BA000012,Mesorhizobium japonicum,Oe6_s08731,75.133,1130,232,45,6998,8104,4148500,4147397,1.54e-131,484,4
BA000012,Mesorhizobium japonicum,Oe6_s02989,81.608,1169,197,15,5,1164,5638139,5636980,0,952,4
BA000012,Mesorhizobium japonicum,Oe6_s08731,75.25,501,110,12,8269,8762,3620665,3621158,1.03e-53,226,4
BA000040,Bradyrhizobium diazoefficiens,Oe6_s03283,72.823,379,87,15,2003,2373,4934635,4935005,6.82e-21,115,2
BA000040,Bradyrhizobium diazoefficiens,Oe6_s08731,76.724,1044,211,30,7076,8103,7719070,7720097,4.17e-152,553,2
BC018500,Homo sapiens,Oe6_s09260,99.434,884,5,0,1,884,313,1196,0,1605,1
BN001302,Aspergillus nidulans,Oe6_s06580,79.404,369,71,5,26287,26654,2464957,2465321,5.08e-62,255,1
BN001302,Aspergillus nidulans,Oe6_s06580,80,445,83,6,26711,27152,2465423,2465864,1.37e-82,324,1
BN001302,Aspergillus nidulans,Oe6_s06580,80.866,439,76,7,25847,26281,2464466,2464900,4.91e-87,339,1
BN001303,Aspergillus nidulans,Oe6_s06580,74.012,1897,398,68,7968,9821,744182,746026,0,684,1
BT026646,Gasterosteus aculeatus,Oe6_s02199,74.578,1243,290,23,74832,76061,1385,156,3.71e-141,521,1
BT075415,Osmerus mordax,Oe6_s02199,71.849,611,159,12,77086,77688,211,816,2.59e-33,163,1
BT099963,Drosophila melanogaster,Oe6_s08364,71.78,1219,300,33,40849,42048,39,1232,8.32e-77,305,1
BT102161,Picea glauca,Oe6_s06580,80.628,1337,226,26,25836,27154,1520,199,0,1003,1
BX004997,Danio rerio,Oe6_s07662,97.183,71,1,1,411,481,81661,81592,1.01e-22,119,17
BX005336,Danio rerio,Oe6_s07662,97.183,71,1,1,411,481,96117,96048,1.01e-22,119,10
BX322613,Homo sapiens,Oe6_s09260,92.948,553,33,4,695,1245,42360,41812,0,800,6
BX322613,Homo sapiens,Oe6_s09260,93.905,1247,67,5,1,1245,36620,35381,0,1873,6
BX322613,Homo sapiens,Oe6_s09260,77.172,1266,214,36,1,1243,33743,32530,0,667,6
BX322613,Homo sapiens,Oe6_s09260,93.905,1247,66,6,1,1245,41696,40458,0,1873,6
BX322613,Homo sapiens,Oe6_s09260,80.782,1176,177,31,87,1241,41257,40110,0,874,6
BX322613,Homo sapiens,Oe6_s09260,82.232,1165,151,33,100,1245,34321,33194,0,953,6
BX322613,Homo sapiens,Oe6_s09260,79.437,1279,193,40,1,1243,33078,31834,0,841,6
BX322613,Homo sapiens,Oe6_s09260,79.14,1256,215,30,1,1242,39990,38768,0,824,6
BX322613,Homo sapiens,Oe6_s09260,80.507,1262,197,32,1,1245,39548,38319,0,922,6
BX322613,Homo sapiens,Oe6_s09260,93.27,1263,62,6,1,1245,31067,29810,0,1840,6
BX322613,Homo sapiens,Oe6_s09260,90.785,955,47,16,2,940,29228,28299,0,1238,6
BX322613,Homo sapiens,Oe6_s09260,87.881,1246,106,18,1,1243,34797,33594,0,1423,6
BX322613,Homo sapiens,Oe6_s09260,93.83,1248,70,5,1,1245,38447,37204,0,1871,6
BX322613,Homo sapiens,Oe6_s09260,85.418,1255,142,27,7,1245,39766,38537,0,1266,6
BX322613,Homo sapiens,Oe6_s09260,93.68,1250,70,5,1,1245,32607,31362,0,1862,6
BX572601,Rhodopseudomonas palustris,Oe6_s08731,74.85,501,104,18,8273,8762,176981,177470,3.74e-48,207,1
BX572604,Rhodopseudomonas palustris,Oe6_s03283,73.799,1187,257,49,1310,2469,92600,93759,1.29e-112,420,1
BX640419,Bordetella pertussis,Oe6_s02989,80.818,1173,211,14,5,1170,115076,116241,0,907,1
BX640423,Bordetella parapertussis,Oe6_s02653,75.758,3527,678,129,2268,5708,42424,45859,0,1613,1
BX640426,Bordetella parapertussis,Oe6_s02989,80.818,1173,211,14,5,1170,119952,121117,0,907,1
BX640437,Bordetella bronchiseptica,Oe6_s02653,75.815,3527,676,129,2268,5708,42434,45869,0,1624,1
BX640441,Bordetella bronchiseptica,Oe6_s02989,80.904,1173,210,14,5,1170,6732,7897,0,913,1
BX649480,Homo sapiens,Oe6_s09260,78.956,1283,198,48,3,1245,161518,160268,0,808,3
BX649480,Homo sapiens,Oe6_s09260,79.746,1259,196,36,1,1243,179864,178649,0,857,3
BX649480,Homo sapiens,Oe6_s09260,89.57,1256,96,15,2,1245,156783,155551,0,1561,3
BX649480,Homo sapiens,Oe6_s09260,79.117,1269,210,35,1,1243,160152,158913,0,824,3
BX649480,Homo sapiens,Oe6_s09260,91.987,1273,66,19,1,1245,152609,151345,0,1753,3
BX649480,Homo sapiens,Oe6_s09260,80.222,1259,186,36,3,1243,173146,171933,0,887,3
BX649480,Homo sapiens,Oe6_s09260,83.886,1266,159,26,1,1243,157520,156277,0,1166,3
BX649480,Homo sapiens,Oe6_s09260,79.587,1259,198,35,1,1243,166482,165267,0,846,3
BX649480,Homo sapiens,Oe6_s09260,94.868,1247,58,4,1,1245,161787,160545,0,1943,3
BX649480,Homo sapiens,Oe6_s09260,85.162,1267,141,24,1,1243,176975,175732,0,1254,3
BX649480,Homo sapiens,Oe6_s09260,93.745,1247,62,5,1,1245,175074,173842,0,1857,3
BX649480,Homo sapiens,Oe6_s09260,94.066,1247,67,5,1,1245,167839,166598,0,1886,3
BX649480,Homo sapiens,Oe6_s09260,84.458,1274,135,41,1,1232,168434,167182,0,1197,3
BX649480,Homo sapiens,Oe6_s09260,94.627,1247,60,5,1,1245,172085,170844,0,1925,3
BX649480,Homo sapiens,Oe6_s09260,86.294,1233,139,18,28,1245,154410,153193,0,1314,3
BX649480,Homo sapiens,Oe6_s09260,83.82,1267,157,26,1,1243,154509,153267,0,1160,3
BX649480,Homo sapiens,Oe6_s09260,86.736,1259,121,29,17,1245,163613,162371,0,1358,3
BX649480,Homo sapiens,Oe6_s09260,95.269,1247,53,4,1,1245,170260,169018,0,1971,3
BX649480,Homo sapiens,Oe6_s09260,79.262,1273,199,43,1,1243,153077,151840,0,828,3
BX649480,Homo sapiens,Oe6_s09260,79.734,1278,190,43,1,1239,175542,174295,0,861,3
BX649480,Homo sapiens,Oe6_s09260,84.285,1279,135,39,1,1235,179396,178140,0,1188,3
BX649480,Homo sapiens,Oe6_s09260,80.254,1261,186,36,1,1243,168902,167687,0,891,3
BX649480,Homo sapiens,Oe6_s09260,94.948,1247,57,4,1,1245,181222,179980,0,1949,3
BX649480,Homo sapiens,Oe6_s09260,78.488,1283,204,47,3,1245,174815,173565,0,774,3
BX649480,Homo sapiens,Oe6_s09260,94.948,1247,57,4,1,1245,178801,177559,0,1949,3
BX649480,Homo sapiens,Oe6_s09260,76.466,1279,200,59,3,1245,177148,175935,2.03e-167,601,3
BX649480,Homo sapiens,Oe6_s09260,80.471,1275,177,47,1,1245,159065,157833,0,909,3
BX649480,Homo sapiens,Oe6_s09260,80.503,1272,178,45,1,1243,163431,162201,0,911,3
BX649480,Homo sapiens,Oe6_s09260,86.45,1262,119,36,17,1245,159247,158005,0,1336,3
BX649480,Homo sapiens,Oe6_s09260,79.37,1270,191,44,3,1245,174513,173288,0,828,3
BX649480,Homo sapiens,Oe6_s09260,79.079,1195,178,38,106,1245,165811,164634,0,756,3
BX649480,Homo sapiens,Oe6_s09260,87.54,1236,119,20,28,1245,176876,175658,0,1397,3
BX649480,Homo sapiens,Oe6_s09260,79.026,1273,192,40,1,1243,154967,153740,0,802,3
BX649480,Homo sapiens,Oe6_s09260,84.38,1274,136,41,1,1232,172680,171428,0,1192,3
BX649480,Homo sapiens,Oe6_s09260,80.873,1260,183,38,1,1245,151102,149886,0,939,3
BX649480,Homo sapiens,Oe6_s09260,82.474,1261,165,41,1,1242,165419,164196,0,1053,3
BX649480,Homo sapiens,Oe6_s09260,81.02,1275,174,44,1,1243,177443,176205,0,952,3
BX649480,Homo sapiens,Oe6_s09260,81.604,1272,188,28,3,1243,157449,156193,0,1011,3
BX649480,Homo sapiens,Oe6_s09260,83.373,1257,163,27,1,1239,164052,162824,0,1122,3
BX649480,Homo sapiens,Oe6_s09260,88.615,1256,108,24,3,1245,151171,149938,0,1495,3
BX649480,Homo sapiens,Oe6_s09260,83.833,1268,151,36,1,1235,166014,164768,0,1157,3
BX649480,Homo sapiens,Oe6_s09260,83.227,1258,163,28,1,1239,159686,158458,0,1110,3
BX927129,Danio rerio,Oe6_s07662,97.183,71,1,1,411,481,97357,97288,1.01e-22,119,10
BX927129,Danio rerio,Oe6_s07662,97.183,71,1,1,411,481,100712,100781,1.01e-22,119,10
CP000036,Shigella boydii,Oe6_s01851,97.997,599,12,0,1,599,4458234,4457636,0,1040,1
CP000038,Shigella sonnei,Oe6_s01851,97.83,599,13,0,1,599,4763106,4762508,0,1035,1
CP000050,Xanthomonas campestris,Oe6_s10896,80.633,1105,193,19,4,1098,348478,347385,0,835,1
CP000076,Pseudomonas protegens,Oe6_s04615,78.225,1961,370,49,35574,37510,5188010,5189937,0,1203,1
CP000085,Burkholderia thailandensis,Oe6_s01635,74.401,543,129,9,490,1027,1218752,1218215,4.25e-54,224,1
CP000086,Burkholderia thailandensis,Oe6_s02653,75.568,3782,763,120,2201,5913,3496510,3492821,0,1716,1
CP000089,Dechloromonas aromatica,Oe6_s03307,81,200,34,4,315,512,2172142,2171945,3.61e-33,156,1
CP000090,Cupriavidus pinatubonensis,Oe6_s02653,76.156,4022,766,136,2210,6128,3474305,3470374,0,1936,1
CP000091,Cupriavidus pinatubonensis,Oe6_s02989,81.063,1167,207,13,5,1164,1615033,1613874,0,918,1
CP000115,Nitrobacter winogradskyi,Oe6_s03283,76.311,515,100,21,1951,2454,1395206,1394703,3.85e-63,255,1
CP000116,Thiobacillus denitrificans,Oe6_s04615,78.672,1913,339,57,35624,37506,2068072,2066199,0,1208,1
CP000151,Burkholderia lata,Oe6_s10896,76.728,593,125,11,1920,2507,3001757,3001173,6.53e-82,318,1
CP000151,Burkholderia lata,Oe6_s03283,72.921,517,104,25,1951,2449,1249126,1248628,2.42e-30,147,1
CP000245,Ramlibacter tataouinensis,Oe6_s04615,77.045,2714,507,89,34834,37510,3675561,3678195,0,1454,1
CP000245,Ramlibacter tataouinensis,Oe6_s02653,81.602,5506,860,109,2249,7682,3852639,3847215,0,4414,1
CP000266,Shigella flexneri,Oe6_s01851,97.997,599,12,0,1,599,4514159,4513561,0,1040,1
CP000296,Cryptococcus gattii VGI,Oe6_s06580,86.486,185,23,2,26653,26836,684217,684034,6.72e-46,202,1
CP000301,Rhodopseudomonas palustris,Oe6_s03283,74.09,467,101,19,2003,2459,2782094,2782550,1.11e-38,174,1
CP000316,Polaromonas sp. JS666,Oe6_s02653,76.435,5487,1132,117,2269,7679,503173,508574,0,2820,1
CP000319,Nitrobacter hamburgensis,Oe6_s03283,77.88,217,37,10,2153,2364,2288354,2288144,1.13e-23,124,1
CP000319,Nitrobacter hamburgensis,Oe6_s03283,73.005,1178,260,54,1307,2455,1714992,1713844,7.94e-95,361,1
CP000352,Cupriavidus metallidurans,Oe6_s02653,75.705,3898,758,137,2328,6128,3576088,3572283,0,1777,1
CP000352,Cupriavidus metallidurans,Oe6_s03283,79.399,466,90,5,424,886,649016,648554,1.04e-83,324,1
CP000352,Cupriavidus metallidurans,Oe6_s10896,78.322,429,85,6,1920,2344,566580,567004,1.86e-67,270,1
CP000352,Cupriavidus metallidurans,Oe6_s03283,73.341,904,213,27,1580,2469,647851,646962,2.92e-79,309,1
CP000378,Burkholderia cenocepacia,Oe6_s03283,75.25,400,85,11,1951,2343,770528,770136,8.58e-40,178,1
CP000378,Burkholderia cenocepacia,Oe6_s03283,73.062,516,105,25,1951,2449,773843,773345,5.2e-32,152,1
