accession,taxid,superkingdom,phylum,class,order,family,genus,species,strain
XM_007832996,1229662,Eukaryota,Ascomycota,Sordariomycetes,Xylariales,Sporocadaceae,Pestalotiopsis,Pestalotiopsis fici,Pestalotiopsis fici W106-1
XM_007839993,1229662,Eukaryota,Ascomycota,Sordariomycetes,Xylariales,Sporocadaceae,Pestalotiopsis,Pestalotiopsis fici,Pestalotiopsis fici W106-1
XM_007862208,670483,Eukaryota,Basidiomycota,Agaricomycetes,Gloeophyllales,Gloeophyllaceae,Gloeophyllum,Gloeophyllum trabeum,Gloeophyllum trabeum ATCC 11539
XM_007867229,670483,Eukaryota,Basidiomycota,Agaricomycetes,Gloeophyllales,Gloeophyllaceae,Gloeophyllum,Gloeophyllum trabeum,Gloeophyllum trabeum ATCC 11539
XM_007879439,1277687,Eukaryota,Basidiomycota,Ustilaginomycetes,Ustilaginales,Ustilaginaceae,Anthracocystis,Anthracocystis flocculosa,Anthracocystis flocculosa PF-1
XM_007879484,1277687,Eukaryota,Basidiomycota,Ustilaginomycetes,Ustilaginales,Ustilaginaceae,Anthracocystis,Anthracocystis flocculosa,Anthracocystis flocculosa PF-1
XM_007879528,1277687,Eukaryota,Basidiomycota,Ustilaginomycetes,Ustilaginales,Ustilaginaceae,Anthracocystis,Anthracocystis flocculosa,Anthracocystis flocculosa PF-1
XM_007917050,1286976,Eukaryota,Ascomycota,Sordariomycetes,Togniniales,Togniniaceae,Phaeoacremonium,Phaeoacremonium minimum,Phaeoacremonium minimum UCRPA7
XM_007915527,1286976,Eukaryota,Ascomycota,Sordariomycetes,Togniniales,Togniniaceae,Phaeoacremonium,Phaeoacremonium minimum,Phaeoacremonium minimum UCRPA7
XM_007913577,1286976,Eukaryota,Ascomycota,Sordariomycetes,Togniniales,Togniniaceae,Phaeoacremonium,Phaeoacremonium minimum,Phaeoacremonium minimum UCRPA7
XM_007920457,1286976,Eukaryota,Ascomycota,Sordariomycetes,Togniniales,Togniniaceae,Phaeoacremonium,Phaeoacremonium minimum,Phaeoacremonium minimum UCRPA7
XM_007927539,383855,Eukaryota,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Pseudocercospora,Pseudocercospora fijiensis,Pseudocercospora fijiensis CIRAD86
XM_007926861,383855,Eukaryota,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Pseudocercospora,Pseudocercospora fijiensis,Pseudocercospora fijiensis CIRAD86
XM_007924383,383855,Eukaryota,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Pseudocercospora,Pseudocercospora fijiensis,Pseudocercospora fijiensis CIRAD86
XM_007931747,383855,Eukaryota,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Pseudocercospora,Pseudocercospora fijiensis,Pseudocercospora fijiensis CIRAD86
XM_007928862,383855,Eukaryota,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Pseudocercospora,Pseudocercospora fijiensis,Pseudocercospora fijiensis CIRAD86
HG322950,1301098,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas knackmussii,Pseudomonas knackmussii B13
XM_007901891,7868,Eukaryota,Chordata,Chondrichthyes,Chimaeriformes,Callorhinchidae,Callorhinchus,Callorhinchus milii,
HG918041,573,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella pneumoniae,
XM_007956580,1230840,Eukaryota,Chordata,Mammalia,Tubulidentata,Orycteropodidae,Orycteropus,Orycteropus afer,
LK003964,366602,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Caulobacter,Caulobacter sp. K31,
XM_008026467,671987,Eukaryota,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Setosphaeria,Setosphaeria turcica,Setosphaeria turcica Et28A
XM_008025759,671987,Eukaryota,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Setosphaeria,Setosphaeria turcica,Setosphaeria turcica Et28A
XM_008023475,671987,Eukaryota,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Setosphaeria,Setosphaeria turcica,Setosphaeria turcica Et28A
XM_008030806,671987,Eukaryota,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Setosphaeria,Setosphaeria turcica,Setosphaeria turcica Et28A
XM_008030824,671987,Eukaryota,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Setosphaeria,Setosphaeria turcica,Setosphaeria turcica Et28A
XM_008030227,671987,Eukaryota,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Setosphaeria,Setosphaeria turcica,Setosphaeria turcica Et28A
XM_008029339,671987,Eukaryota,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Setosphaeria,Setosphaeria turcica,Setosphaeria turcica Et28A
XM_008027798,671987,Eukaryota,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Setosphaeria,Setosphaeria turcica,Setosphaeria turcica Et28A
XM_008034018,717944,Eukaryota,Basidiomycota,Agaricomycetes,Polyporales,Polyporaceae,Trametes,Trametes versicolor,Trametes versicolor FP-101664 SS1
XM_008042673,717944,Eukaryota,Basidiomycota,Agaricomycetes,Polyporales,Polyporaceae,Trametes,Trametes versicolor,Trametes versicolor FP-101664 SS1
XM_008079706,1116229,Eukaryota,Ascomycota,Leotiomycetes,Helotiales,Helotiaceae,Glarea,Glarea lozoyensis,Glarea lozoyensis ATCC 20868
XM_008082857,1116229,Eukaryota,Ascomycota,Leotiomycetes,Helotiales,Helotiaceae,Glarea,Glarea lozoyensis,Glarea lozoyensis ATCC 20868
NM_001292741,7868,Eukaryota,Chordata,Chondrichthyes,Chimaeriformes,Callorhinchidae,Callorhinchus,Callorhinchus milii,
CP007727,1094170,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella pneumoniae,
CP007734,1328324,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella pneumoniae,
CP007735,1328324,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella pneumoniae,
CP005927,1327989,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Serratia,Serratia sp. FS14,
XM_008223837,102107,Eukaryota,Streptophyta,,Rosales,Rosaceae,Prunus,Prunus mume,
CP007637,321846,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas simiae,
CP007692,645170,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Brucellaceae,Brucella,Brucella suis,Brucella suis bv. 2
CP007721,645170,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Brucellaceae,Brucella,Brucella suis,Brucella suis bv. 2
CP007698,645170,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Brucellaceae,Brucella,Brucella suis,Brucella suis bv. 2
CP007694,645170,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Brucellaceae,Brucella,Brucella suis,Brucella suis bv. 2
LK052938,5286,Eukaryota,Basidiomycota,Microbotryomycetes,Sporidiobolales,Sporidiobolaceae,Rhodotorula,Rhodotorula toruloides,
CP008696,587753,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas chlororaphis,
CP007696,645170,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Brucellaceae,Brucella,Brucella suis,Brucella suis bv. 2
LK391695,330,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas pseudoalcaligenes,
CP004383,1249667,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia thailandensis,Burkholderia thailandensis USAMRU Malaysia #20
LK391707,5866,Eukaryota,Apicomplexa,Aconoidasida,,Babesiidae,Babesia,Babesia bigemina,
CP006581,763057,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae,Mesorhizobium,Mesorhizobium huakuii,Mesorhizobium huakuii 7653R
XM_008406705,8081,Eukaryota,Chordata,Actinopteri,Cyprinodontiformes,Poeciliidae,Poecilia,Poecilia reticulata,
HG938353,1028800,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Neorhizobium,Neorhizobium galegae,Neorhizobium galegae bv. orientalis
HG938355,1028801,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Neorhizobium,Neorhizobium galegae,Neorhizobium galegae bv. officinalis
CP008749,1147787,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa,Pseudomonas aeruginosa PAO1
CP008739,1400868,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa,Pseudomonas aeruginosa VRFPA04
CP008700,1199150,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella pneumoniae,
CP008789,1333852,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella oxytoca,Klebsiella oxytoca KONIH1
CP008788,1333852,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella oxytoca,Klebsiella oxytoca KONIH1
CP008797,1225181,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella pneumoniae,
CP008831,1328325,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella pneumoniae,
CP008827,1087440,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella pneumoniae,
XM_008472155,121845,Eukaryota,Arthropoda,Insecta,Hemiptera,Liviidae,Diaphorina,Diaphorina citri,
CP008841,1134687,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella michiganensis,
LK052888,36022,Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Phaffomycetaceae,Cyberlindnera,Cyberlindnera fabianii,
CP008884,1217721,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Dyella,Dyella japonica,Dyella japonica A8
LL711114,1147741,Eukaryota,Nematoda,Chromadorea,Spirurida,Onchocercidae,Elaeophora,Elaeophora elaphi,
XM_008599036,655819,Eukaryota,Ascomycota,Sordariomycetes,Hypocreales,Cordycipitaceae,Beauveria,Beauveria bassiana,Beauveria bassiana ARSEF 2860
XM_008597169,655819,Eukaryota,Ascomycota,Sordariomycetes,Hypocreales,Cordycipitaceae,Beauveria,Beauveria bassiana,Beauveria bassiana ARSEF 2860
CP006798,1406314,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella pneumoniae,
CP006799,1406314,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella pneumoniae,
XM_007778903,1168221,Eukaryota,Ascomycota,Dothideomycetes,,,Coniosporium,Coniosporium apollinis,Coniosporium apollinis CBS 100218
XM_007780822,1168221,Eukaryota,Ascomycota,Dothideomycetes,,,Coniosporium,Coniosporium apollinis,Coniosporium apollinis CBS 100218
XM_007780917,1168221,Eukaryota,Ascomycota,Dothideomycetes,,,Coniosporium,Coniosporium apollinis,Coniosporium apollinis CBS 100218
XM_007785832,1168221,Eukaryota,Ascomycota,Dothideomycetes,,,Coniosporium,Coniosporium apollinis,Coniosporium apollinis CBS 100218
XM_007785890,1168221,Eukaryota,Ascomycota,Dothideomycetes,,,Coniosporium,Coniosporium apollinis,Coniosporium apollinis CBS 100218
XM_008618765,1156394,Eukaryota,,Oomycetes,Saprolegniales,Saprolegniaceae,Saprolegnia,Saprolegnia diclina,Saprolegnia diclina VS20
AP014622,287,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa,
XM_008726948,1279043,Eukaryota,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Cladophialophora,Cladophialophora carrionii,Cladophialophora carrionii CBS 160.54
XM_008722542,1220924,Eukaryota,Ascomycota,Eurotiomycetes,Chaetothyriales,Cyphellophoraceae,Cyphellophora,Cyphellophora europaea,Cyphellophora europaea CBS 101466
XM_008814510,42345,Eukaryota,Streptophyta,Liliopsida,Arecales,Arecaceae,Phoenix,Phoenix dactylifera,
XM_008814520,42345,Eukaryota,Streptophyta,Liliopsida,Arecales,Arecaceae,Phoenix,Phoenix dactylifera,
XM_008814527,42345,Eukaryota,Streptophyta,Liliopsida,Arecales,Arecaceae,Phoenix,Phoenix dactylifera,
CP009116,573,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella pneumoniae,
CP006704,1392005,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Comamonas,Comamonas testosteroni,Comamonas testosteroni TK102
CP007701,235,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Brucellaceae,Brucella,Brucella abortus,
CP007683,235,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Brucellaceae,Brucella,Brucella abortus,
CP007680,235,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Brucellaceae,Brucella,Brucella abortus,
CP007710,520454,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Brucellaceae,Brucella,Brucella abortus,Brucella abortus bv. 6
CP007716,29461,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Brucellaceae,Brucella,Brucella suis,
CP007706,520455,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Brucellaceae,Brucella,Brucella abortus,Brucella abortus bv. 9
CP007662,235,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Brucellaceae,Brucella,Brucella abortus,
CP007737,235,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Brucellaceae,Brucella,Brucella abortus,
CP007742,120576,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Brucellaceae,Brucella,Brucella pinnipedialis,
CP007788,520465,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Brucellaceae,Brucella,Brucella melitensis,Brucella melitensis bv. 2
CP007764,520450,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Brucellaceae,Brucella,Brucella abortus,Brucella abortus bv. 2
CP007762,224914,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Brucellaceae,Brucella,Brucella melitensis,Brucella melitensis bv. 1
CP007761,520466,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Brucellaceae,Brucella,Brucella melitensis,Brucella melitensis bv. 3
CP007708,235,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Brucellaceae,Brucella,Brucella abortus,
HG529698,1398559,Eukaryota,Basidiomycota,Ustilaginomycetes,Ustilaginales,Ustilaginaceae,Melanopsichium,Melanopsichium pennsylvanicum,Melanopsichium pennsylvanicum 4
HG529577,1398559,Eukaryota,Basidiomycota,Ustilaginomycetes,Ustilaginales,Ustilaginaceae,Melanopsichium,Melanopsichium pennsylvanicum,Melanopsichium pennsylvanicum 4
HG529580,1398559,Eukaryota,Basidiomycota,Ustilaginomycetes,Ustilaginales,Ustilaginaceae,Melanopsichium,Melanopsichium pennsylvanicum,Melanopsichium pennsylvanicum 4
CP008819,529,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Brucellaceae,Ochrobactrum,Ochrobactrum anthropi,
CP009208,72407,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella pneumoniae,
CP008838,40324,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas,Stenotrophomonas maltophilia,
CP004057,1282358,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,Shigella flexneri,Shigella flexneri Shi06HN006
CP004056,1282357,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,Shigella flexneri,Shigella flexneri 2003036
HG974234,287,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa,
CP009075,1202531,Eukaryota,Ascomycota,Sordariomycetes,Glomerellales,Plectosphaerellaceae,Verticillium,Verticillium dahliae,Verticillium dahliae JR2
CP009076,1202531,Eukaryota,Ascomycota,Sordariomycetes,Glomerellales,Plectosphaerellaceae,Verticillium,Verticillium dahliae,Verticillium dahliae JR2
CP009077,1202531,Eukaryota,Ascomycota,Sordariomycetes,Glomerellales,Plectosphaerellaceae,Verticillium,Verticillium dahliae,Verticillium dahliae JR2
XM_008997007,9483,Eukaryota,Chordata,Mammalia,Primates,Cebidae,Callithrix,Callithrix jacchus,
XM_008997008,9483,Eukaryota,Chordata,Mammalia,Primates,Cebidae,Callithrix,Callithrix jacchus,
XM_008997009,9483,Eukaryota,Chordata,Mammalia,Primates,Cebidae,Callithrix,Callithrix jacchus,
XM_008997010,9483,Eukaryota,Chordata,Mammalia,Primates,Cebidae,Callithrix,Callithrix jacchus,
XM_008997011,9483,Eukaryota,Chordata,Mammalia,Primates,Cebidae,Callithrix,Callithrix jacchus,
XM_008997012,9483,Eukaryota,Chordata,Mammalia,Primates,Cebidae,Callithrix,Callithrix jacchus,
LM996645,562,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,
LM996701,562,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,
LM996755,562,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,
LM996803,562,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,
LM996832,562,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,
LM996923,562,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,
LM996972,562,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,
LM997016,562,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,
LM997036,562,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,
LM997087,562,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,
LM997146,562,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,
LM997323,562,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,
LM997394,562,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,
LK931533,562,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,
LK985434,562,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,
LK999956,562,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,
LK999975,562,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,
LM995467,562,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,
LM995537,562,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,
LM995613,562,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,
LM995689,562,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,
LM995753,562,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,
LM995784,562,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,
LM995827,562,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,
LM995899,562,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,
LM995947,562,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,
LM995993,562,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,
LM996042,562,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,
LM996071,562,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,
LM996110,562,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,
LM996191,562,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,
LM996307,562,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,
LM996365,562,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,
LM996410,562,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,
LM996465,562,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,
LM996496,562,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,
LM996529,562,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,
LM996565,562,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,
CP009146,382,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Sinorhizobium,Sinorhizobium meliloti,
LN554915,562,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,
CP003424,488142,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Serratia,Serratia sp. SCBI,
XM_009081175,57068,Eukaryota,Chordata,Aves,Passeriformes,Acanthisittidae,Acanthisitta,Acanthisitta chloris,
KJ812998,550,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Enterobacter cloacae,
FO904938,515849,Eukaryota,Ascomycota,Sordariomycetes,Sordariales,Lasiosphaeriaceae,Podospora,Podospora anserina,Podospora anserina S mat+
FO904936,515849,Eukaryota,Ascomycota,Sordariomycetes,Sordariales,Lasiosphaeriaceae,Podospora,Podospora anserina,Podospora anserina S mat+
CP008905,1333849,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Enterobacter cloacae complex 'Hoffmann cluster III',Enterobacter cloacae ECR091
CP008897,1333851,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Enterobacter cloacae complex 'Hoffmann cluster III',Enterobacter cloacae ECNIH3
XM_009160170,858893,Eukaryota,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Exophiala,Exophiala dermatitidis,Exophiala dermatitidis NIH/UT8656
CP009303,4911,Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Kluyveromyces,Kluyveromyces marxianus,
CP009099,235,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Brucellaceae,Brucella,Brucella abortus,
CP009095,29461,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Brucellaceae,Brucella,Brucella suis,
CP009094,29461,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Brucellaceae,Brucella,Brucella suis,
CP009097,29461,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Brucellaceae,Brucella,Brucella suis,
XM_009230867,644352,Eukaryota,Ascomycota,Sordariomycetes,Magnaporthales,Magnaporthaceae,Gaeumannomyces,Gaeumannomyces tritici,Gaeumannomyces tritici R3-111a-1
XM_009228049,644352,Eukaryota,Ascomycota,Sordariomycetes,Magnaporthales,Magnaporthaceae,Gaeumannomyces,Gaeumannomyces tritici,Gaeumannomyces tritici R3-111a-1
CP007779,95486,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia cenocepacia,
CP007746,983594,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia cepacia,Burkholderia cepacia ATCC 25416
CP007783,95486,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia cenocepacia,
CP007787,292,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia cepacia,
CP007781,95486,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia cenocepacia,
CP008726,342113,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia oklahomensis,
CP008730,87883,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia multivorans,
CP008786,271848,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia thailandensis,Burkholderia thailandensis E264
CP008914,57975,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia thailandensis,
AP014646,287,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa,
XM_009262031,1028729,Eukaryota,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,Fusarium pseudograminearum,Fusarium pseudograminearum CS3096
XM_009262185,1028729,Eukaryota,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,Fusarium pseudograminearum,Fusarium pseudograminearum CS3096
XM_009262290,1028729,Eukaryota,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,Fusarium pseudograminearum,Fusarium pseudograminearum CS3096
XM_009261647,1028729,Eukaryota,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,Fusarium pseudograminearum,Fusarium pseudograminearum CS3096
